<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220518,000000,128.2000000,131.3000000,125.0000000,125.1200000,55422410
20220519,000000,125.3100000,126.8600000,123.2100000,125.6000000,34146310
20220520,000000,126.0700000,127.0000000,121.0500000,122.2000000,39225870
20220523,000000,121.5100000,122.5000000,118.9000000,119.4600000,37711030
20220524,000000,119.4500000,125.0000000,117.1000000,123.6000000,45091260
20220525,000000,124.1200000,125.5000000,120.5000000,124.1500000,53466830
20220526,000000,124.8100000,125.9900000,122.0000000,123.0000000,51897210
20220527,000000,123.1000000,123.5000000,120.9000000,121.2200000,32523920
20220530,000000,121.6000000,123.0000000,120.2100000,120.6700000,24894090
20220531,000000,120.0000000,120.0000000,117.6200000,118.3000000,29907440
20220601,000000,117.5000000,122.6900000,117.0000000,121.9700000,43722390
20220602,000000,121.9000000,122.3900000,118.5000000,119.0000000,42732340
20220603,000000,119.2900000,120.1600000,117.1800000,119.2100000,34298730
20220606,000000,119.3600000,120.3500000,118.2900000,118.7800000,22191350
20220607,000000,118.6500000,118.9000000,117.3200000,118.3200000,22238300
20220608,000000,118.5000000,122.1900000,118.4000000,119.9000000,41488860
20220609,000000,120.0600000,120.2000000,117.7000000,118.2000000,29343850
20220610,000000,118.0300000,119.5500000,117.7300000,118.0700000,25343510
20220614,000000,118.0400000,119.8800000,115.8000000,118.9800000,37579410
20220615,000000,119.4000000,121.7100000,118.7100000,121.1400000,52145030
20220616,000000,121.5000000,123.7300000,120.4100000,123.7300000,47892000
20220617,000000,123.9000000,125.1800000,123.1100000,123.8800000,36503100
20220620,000000,124.0500000,131.5000000,123.6000000,131.2900000,65637580
20220621,000000,131.9800000,133.4900000,127.1100000,129.1000000,75189920
20220622,000000,127.8800000,133.2100000,126.0300000,133.1100000,67693510
20220623,000000,133.8200000,138.4000000,131.5000000,136.8500000,107981870
20220624,000000,137.1900000,138.3000000,135.2100000,137.7600000,45185200
20220627,000000,137.7000000,141.7700000,136.7700000,141.1500000,69806790
20220628,000000,141.7600000,142.3500000,138.5000000,139.6700000,44676250
